Archery,,,
,,,
See also: Archery at the 2020 Summer Olympics,,,
,,,
Event,Gold,Silver,Bronze
Men's individual,Mete Gazoz,Mauro Nespoli,Takaharu Furukawa
, Turkey, Italy, Japan
Men's team, South Korea, Chinese Taipei, Japan
,Kim Woo-jin,Deng Yu-cheng,Takaharu Furukawa
,Oh Jin-hyek,Tang Chih-chun,Yuki Kawata
,Kim Je-deok,Wei Chun-heng,Hiroki Muto
Women's individual,An San,Elena Osipova,Lucilla Boari
, South Korea, ROC, Italy
Women's team, South Korea, ROC, Germany
,An San,Svetlana Gomboeva,Michelle Kroppen
,Jang Min-hee,Elena Osipova,Charline Schwarz
,Kang Chae-young,Ksenia Perova,Lisa Unruh
Mixed team, South Korea, Netherlands, Mexico
,Kim Je-deok,Steve Wijler,Luis Álvarez
,An San,Gabriela Schloesser,Alejandra Valencia
,,,
Artistic swimming,,,
,,,
See also: Artistic swimming at the 2020 Summer Olympics,,,
,,,
Event,Gold,Silver,Bronze
Duet,Svetlana Kolesnichenko,Huang Xuechen,Marta Fiedina
,Svetlana Romashina,Sun Wenyan,Anastasiya Savchuk
, ROC, China, Ukraine
Team, ROC, China, Ukraine
,Vlada Chigireva,Feng Yu,Maryna Aleksiiva
,Marina Goliadkina,Guo Li,Vladyslava Aleksiiva
,Svetlana Kolesnichenko,Huang Xuechen,Marta Fiedina
,Polina Komar,Liang Xinping,Kateryna Reznik
,Alexandra Patskevich,Sun Wenyan,Anastasiya Savchuk
,Svetlana Romashina,Wang Qianyi,Alina Shynkarenko
,Alla Shishkina,Xiao Yanning,Kseniya Sydorenko
,Maria Shurochkina,Yin Chengxin,Yelyzaveta Yakhno
,,,
Athletics,,,
,,,
See also: Athletics at the 2020 Summer Olympics,,,
Men's events,,,
,,,
,,,
Event,Gold,Silver,Bronze
100 metres,Marcell Jacobs,Fred Kerley,Andre De Grasse
, Italy, United States, Canada
200 metres,Andre De Grasse,Kenny Bednarek,Noah Lyles
, Canada, United States, United States
400 metres,Steven Gardiner,Anthony Zambrano,Kirani James
, Bahamas, Colombia, Grenada
800 metres,Emmanuel Korir,Ferguson Rotich,Patryk Dobek
, Kenya, Kenya, Poland
1500 metres,Jakob Ingebrigtsen,Timothy Cheruiyot,Josh Kerr
, Norway, Kenya, Great Britain
5000 metres,Joshua Cheptegei,Mohammed Ahmed,Paul Chelimo
, Uganda, Canada, United States
"10,000 metres",Selemon Barega,Joshua Cheptegei,Jacob Kiplimo
, Ethiopia, Uganda, Uganda
110 metres hurdles,Hansle Parchment,Grant Holloway,Ronald Levy
, Jamaica, United States, Jamaica
400 metres hurdles,Karsten Warholm,Rai Benjamin,Alison dos Santos
, Norway, United States, Brazil
3000 metres steeplechase,Soufiane El Bakkali,Lamecha Girma,Benjamin Kigen
, Morocco, Ethiopia, Kenya
4 × 100 metres relay, Italy, Canada, China
,Lorenzo Patta,Aaron Brown,Tang Xingqiang
,Marcell Jacobs,Jerome Blake,Xie Zhenye
,Fausto Desalu,Brendon Rodney,Su Bingtian
,Filippo Tortu,Andre De Grasse,Wu Zhiqiang
4 × 400 metres relay, United States, Netherlands, Botswana
,Michael Cherry,Liemarvin Bonevacia,Isaac Makwala
,Michael Norman,Terrence Agard,Baboloki Thebe
,Bryce Deadmon,Tony van Diepen,Zibane Ngozi
,Rai Benjamin,Ramsey Angela,Bayapo Ndori
,Trevor Stewart,Jochem Dobber,
,Randolph Ross,,
,Vernon Norwood,,
Marathon,Eliud Kipchoge,Abdi Nageeye,Bashir Abdi
, Kenya, Netherlands, Belgium
20 kilometres walk,Massimo Stano,Koki Ikeda,Toshikazu Yamanishi
, Italy, Japan, Japan
50 kilometres walk,Dawid Tomala,Jonathan Hilbert,Evan Dunfee
, Poland, Germany, Canada
High jump,Gianmarco Tamberi,Not awarded,Maksim Nedasekau
, Italy,(as there was a tie for gold), Belarus
Mutaz Essa Barshim,,,
 Qatar,,,
Pole vault,Armand Duplantis,Chris Nilsen,Thiago Braz
, Sweden, United States, Brazil
Long jump,Miltiadis Tentoglou,Juan Miguel Echevarría,Maykel Massó
, Greece, Cuba, Cuba
Triple jump,Pedro Pichardo,Zhu Yaming,Hugues Fabrice Zango
, Portugal, China, Burkina Faso
Shot put,Ryan Crouser,Joe Kovacs,Tom Walsh
, United States, United States, New Zealand
Discus throw,Daniel Ståhl,Simon Pettersson,Lukas Weißhaidinger
, Sweden, Sweden, Austria
Hammer throw,Wojciech Nowicki,Eivind Henriksen,Paweł Fajdek
, Poland, Norway, Poland
Javelin throw,Neeraj Chopra,Jakub Vadlejch,Vítězslav Veselý
, India, Czech Republic, Czech Republic
Decathlon,Damian Warner,Kevin Mayer,Ashley Moloney
, Canada, France, Australia
,,,
Women's events,,,
,,,
,,,
Event,Gold,Silver,Bronze
100 metres,Elaine Thompson-Herah,Shelly-Ann Fraser-Pryce,Shericka Jackson
, Jamaica, Jamaica, Jamaica
200 metres,Elaine Thompson-Herah,Christine Mboma,Gabrielle Thomas
, Jamaica, Namibia, United States
400 metres,Shaunae Miller-Uibo,Marileidy Paulino,Allyson Felix
, Bahamas, Dominican Republic, United States
800 metres,Athing Mu,Keely Hodgkinson,Raevyn Rogers
, United States, Great Britain, United States
1500 metres,Faith Kipyegon,Laura Muir,Sifan Hassan
, Kenya, Great Britain, Netherlands
5000 metres,Sifan Hassan,Hellen Obiri,Gudaf Tsegay
, Netherlands, Kenya, Ethiopia
"10,000 metres",Sifan Hassan,Kalkidan Gezahegne,Letesenbet Gidey
, Netherlands, Bahrain, Ethiopia
100 metres hurdles,Jasmine Camacho-Quinn,Kendra Harrison,Megan Tapper
, Puerto Rico, United States, Jamaica
400 metres hurdles,Sydney McLaughlin,Dalilah Muhammad,Femke Bol
, United States, United States, Netherlands
3000 metres steeplechase,Peruth Chemutai,Courtney Frerichs,Hyvin Jepkemoi
, Uganda, United States, Kenya
4 × 100 metres relay, Jamaica, United States, Great Britain
,Briana Williams,Javianne Oliver,Asha Philip
,Elaine Thompson-Herah,Teahna Daniels,Imani-Lara Lansiquot
,Shelly-Ann Fraser-Pryce,Jenna Prandini,Dina Asher-Smith
,Shericka Jackson,Gabrielle Thomas,Daryll Neita
,Natasha Morrison,English Gardner,
,Remona Burchell,Aleia Hobbs,
4 × 400 metres relay, United States, Poland, Jamaica
,Sydney McLaughlin,Natalia Kaczmarek,Roneisha McGregor
,Allyson Felix,Iga Baumgart-Witan,Janieve Russell
,Dalilah Muhammad,Małgorzata Hołub-Kowalik,Shericka Jackson
,Athing Mu,Justyna Święty-Ersetic,Candice McLeod
,Kendall Ellis,Anna Kiełbasińska,Junelle Bromfield
,Lynna Irby,,Stacey-Ann Williams
,Wadeline Jonathas,,
,Kaylin Whitney,,
Marathon,Peres Jepchirchir,Brigid Kosgei,Molly Seidel
, Kenya, Kenya, United States
20 kilometres walk,Antonella Palmisano,Sandra Arenas,Liu Hong
, Italy, Colombia, China
High jump,Mariya Lasitskene,Nicola McDermott,Yaroslava Mahuchikh
, ROC, Australia, Ukraine
Pole vault,Katie Nageotte,Anzhelika Sidorova,Holly Bradshaw
, United States, ROC, Great Britain
Long jump,Malaika Mihambo,Brittney Reese,Ese Brume
, Germany, United States, Nigeria
Triple jump,Yulimar Rojas,Patrícia Mamona,Ana Peleteiro
, Venezuela, Portugal, Spain
Shot put,Gong Lijiao,Raven Saunders,Valerie Adams
, China, United States, New Zealand
Discus throw,Valarie Allman,Kristin Pudenz,Yaime Pérez
, United States, Germany, Cuba
Hammer throw,Anita Włodarczyk,Wang Zheng,Malwina Kopron
, Poland, China, Poland
Javelin throw,Liu Shiying,Maria Andrejczyk,Kelsey-Lee Barber
, China, Poland, Australia
Heptathlon,Nafissatou Thiam,Anouk Vetter,Emma Oosterwegel
, Belgium, Netherlands, Netherlands
,,,
Mixed events,,,
,,,
,,,
Event,Gold,Silver,Bronze
4 × 400 metres relay, Poland, Dominican Republic, United States
,Kajetan Duszyński,Lidio Andrés Feliz,Kendall Ellis
,Natalia Kaczmarek,Marileidy Paulino,Vernon Norwood
,Justyna Święty-Ersetic,Anabel Medina,Trevor Stewart
,Karol Zalewski,Alexander Ogando,Kaylin Whitney
,Dariusz Kowaluk,Luguelín Santos,Elija Godwin
,Iga Baumgart-Witan,,Lynna Irby
,Małgorzata Hołub-Kowalik,,Taylor Manson
,,,Bryce Deadmon
,,,
Badminton,,,
,,,
See also: Badminton at the 2020 Summer Olympics,,,
,,,
Event,Gold,Silver,Bronze
Men's singles,Viktor Axelsen,Chen Long,Anthony Sinisuka Ginting
, Denmark, China, Indonesia
Men's doubles,Lee Yang,Li Junhui,Aaron Chia
,and Wang Chi-lin,and Liu Yuchen,and Soh Wooi Yik
, Chinese Taipei, China, Malaysia
Women's singles,Chen Yufei,Tai Tzu-ying,P. V. Sindhu
, China, Chinese Taipei, India
Women's doubles,Greysia Polii,Chen Qingchen,Kim So-yeong
,and Apriyani Rahayu,and Jia Yifan,and Kong Hee-yong
, Indonesia, China, South Korea
Mixed doubles,Wang Yilyu,Zheng Siwei,Yuta Watanabe
,and Huang Dongping,and Huang Yaqiong,and Arisa Higashino
, China, China, Japan
,,,
Baseball,,,
,,,
See also: Baseball at the 2020 Summer Olympics,,,
,,,
Event,Gold,Silver,Bronze
Men, Japan, United States, Dominican Republic
,Kōyō Aoyagi,Shane Baz,Darío Álvarez
,Suguru Iwazaki,Anthony Carter,Gabriel Arias
,Masato Morishita,Brandon Dickson,Jairo Asencio
,Hiromi Itoh,Anthony Gose,Luis Felipe Castillo
,Yoshinobu Yamamoto,Edwin Jackson,Jumbo Díaz
,Masahiro Tanaka,Scott Kazmir,Junior García
,Yasuaki Yamasaki,Nick Martinez,Jhan Mariñez
,Ryoji Kuribayashi,Scott McGough,Cristopher Mercedes
,Yūdai Ōno,David Robertson,Denyi Reyes
,Kodai Senga,Joe Ryan,Ramón Rosso
,Kaima Taira,Ryder Ryan,Ángel Sánchez
,Ryutaro Umeno,Simeon Woods Richardson,Raúl Valdés
,Takuya Kai,Tim Federowicz,Roldani Baldwin
,Tetsuto Yamada,Mark Kolozsvary,Charlie Valerio
,Sōsuke Genda,Nick Allen,José Bautista
,Hideto Asamura,Eddy Alvarez,Juan Francisco
,Ryosuke Kikuchi,Triston Casas,Jeison Guzmán
,Hayato Sakamoto,Todd Frazier,Erick Mejia
,Munetaka Murakami,Jamie Westbrook,Gustavo Núñez
,Kensuke Kondo,Tyler Austin,Emilio Bonifácio
,Yuki Yanagita,Eric Filia,Melky Cabrera
,Ryoya Kurihara,Patrick Kivlehan,Johan Mieses
,Masataka Yoshida,Jack López,Yefri Pérez
,Seiya Suzuki,Bubba Starling,Julio Rodríguez
,,,
Basketball,,,
,,,
See also: Basketball at the 2020 Summer Olympics,,,
,,,
Event,Gold,Silver,Bronze
Men, United States, France, Australia
,Bam Adebayo,Andrew Albicy,Aron Baynes
,Devin Booker,Nicolas Batum,Matthew Dellavedova
,Kevin Durant,Petr Cornelie,Dante Exum
,Jerami Grant,Nando de Colo,Chris Goulding
,Draymond Green,Moustapha Fall,Josh Green
,Jrue Holiday,Evan Fournier,Joe Ingles
,Keldon Johnson,Rudy Gobert,Nick Kay
,Zach LaVine,Thomas Heurtel,Jock Landale
,Damian Lillard,Timothé Luwawu-Cabarrot,Patty Mills
,JaVale McGee,Frank Ntilikina,Duop Reath
,Khris Middleton,Vincent Poirier,Nathan Sobey
,Jayson Tatum,Guerschon Yabusele,Matisse Thybulle
Women, United States, Japan, France
,Jewell Loyd,Moeko Nagaoka,Alexia Chartereau
,Skylar Diggins-Smith,Maki Takada,Héléna Ciak
,Sue Bird,Naho Miyoshi,Alix Duchet
,Ariel Atkins,Rui Machida,Marine Fauthoux
,Chelsea Gray,Nako Motohashi,Sandrine Gruda
,A'ja Wilson,Nanaka Todo,Marine Johannès
,Breanna Stewart,Saki Hayashi,Sarah Michel
,Napheesa Collier,Evelyn Mawuli,Endéné Miyem
,Diana Taurasi,Saori Miyazaki,Iliana Rupert
,Sylvia Fowles,Yuki Miyazawa,Diandra Tchatchouang
,Tina Charles,Himawari Akaho,Valériane Vukosavljević
,Brittney Griner,Monica Okoye,Gabby Williams
Men 3x3, Latvia, ROC, Serbia
,Agnis Čavars,Ilia Karpenkov,Dušan Domović Bulut
,Edgars Krūmiņš,Kirill Pisklov,Dejan Majstorović
,Kārlis Lasmanis,Stanislav Sharov,Aleksandar Ratkov
,Nauris Miezis,Alexander Zuev,Mihailo Vasić
Women 3x3, United States, ROC, China
,Stefanie Dolson,Evgeniia Frolkina,Wan Jiyuan
,Allisha Gray,Olga Frolkina,Wang Lili
,Kelsey Plum,Yulia Kozik,Yang Shuyu
,Jackie Young,Anastasia Logunova,Zhang Zhiting
,,,
Boxing,,,
,,,
See also: Boxing at the 2020 Summer Olympics,,,
Men's events,,,
,,,
,,,
Event,Gold,Silver,Bronze
Flyweight,Galal Yafai,Carlo Paalam,Ryomei Tanaka
, Great Britain, Philippines, Japan
Saken Bibossinov,,,
 Kazakhstan,,,
Featherweight,Albert Batyrgaziev,Duke Ragan,Samuel Takyi
, ROC, United States, Ghana
Lázaro Álvarez,,,
 Cuba,,,
Lightweight,Andy Cruz,Keyshawn Davis,Hovhannes Bachkov
, Cuba, United States, Armenia
Harry Garside,,,
 Australia,,,
Welterweight,Roniel Iglesias,Pat McCormack,Andrey Zamkovoy
, Cuba, Great Britain, ROC
Aidan Walsh,,,
 Ireland,,,
Middleweight,Hebert Conceição,Oleksandr Khyzhniak,Eumir Marcial
, Brazil, Ukraine, Philippines
Gleb Bakshi,,,
 ROC,,,
Light heavyweight,Arlen López,Benjamin Whittaker,Loren Alfonso
, Cuba, Great Britain, Azerbaijan
Imam Khataev,,,
 ROC,,,
Heavyweight,Julio César La Cruz,Muslim Gadzhimagomedov,David Nyika
, Cuba, ROC, New Zealand
Abner Teixeira,,,
 Brazil,,,
Super heavyweight,Bakhodir Jalolov,Richard Torrez,Frazer Clarke
, Uzbekistan, United States, Great Britain
Kamshybek Kunkabayev,,,
 Kazakhstan,,,
,,,
Women's events,,,
,,,
,,,
Event,Gold,Silver,Bronze
Flyweight,Stoyka Krasteva,Buse Naz Çakıroğlu,Huang Hsiao-wen
, Bulgaria, Turkey, Chinese Taipei
Tsukimi Namiki,,,
 Japan,,,
Featherweight,Sena Irie,Nesthy Petecio,Karriss Artingstall
, Japan, Philippines, Great Britain
Irma Testa,,,
 Italy,,,
Lightweight,Kellie Harrington,Beatriz Ferreira,Sudaporn Seesondee
, Ireland, Brazil, Thailand
Mira Potkonen,,,
 Finland,,,
Welterweight,Busenaz Sürmeneli,Gu Hong,Lovlina Borgohain
, Turkey, China, India
Oshae Jones,,,
 United States,,,
Middleweight,Lauren Price,Li Qian,Nouchka Fontijn
, Great Britain, China, Netherlands
Zemfira Magomedalieva,,,
 ROC,,,
,,,
Canoeing,,,
,,,
See also: Canoeing at the 2020 Summer Olympics,,,
Slalom,,,
,,,
,,,
Event,Gold,Silver,Bronze
Men's C-1,Benjamin Savšek,Lukáš Rohan,Sideris Tasiadis
, Slovenia, Czech Republic, Germany
Men's K-1,Jiří Prskavec,Jakub Grigar,Hannes Aigner
, Czech Republic, Slovakia, Germany
Women's C-1,Jessica Fox,Mallory Franklin,Andrea Herzog
, Australia, Great Britain, Germany
Women's K-1,Ricarda Funk,Maialen Chourraut,Jessica Fox
, Germany, Spain, Australia
,,,
Sprint,,,
,,,
Men's events,,,
,,,
,,,
Event,Gold,Silver,Bronze
C-1 1000 metres,Isaquias Queiroz,Liu Hao,Serghei Tarnovschi
, Brazil, China, Moldova
C-2 1000 metres,Serguey Torres,Liu Hao,Sebastian Brendel
,and Fernando Jorge,and Zheng Pengfei,and Tim Hecker
, Cuba, China, Germany
K-1 200 metres,Sándor Tótka,Manfredi Rizza,Liam Heath
, Hungary, Italy, Great Britain
K-1 1000 metres,Bálint Kopasz,Ádám Varga,Fernando Pimenta
, Hungary, Hungary, Portugal
K-2 1000 metres,Jean van der Westhuyzen,Max Hoff,Josef Dostál
,and Thomas Green,and Jacob Schopf,and Radek Šlouf
, Australia, Germany, Czech Republic
K-4 500 metres, Germany (GER), Spain (ESP), Slovakia (SVK)
,Max Rendschmidt,Saúl Craviotto,Samuel Baláž
,Ronald Rauhe,Marcus Walz,Denis Myšák
,Tom Liebscher,Carlos Arévalo,Erik Vlček
,Max Lemke,Rodrigo Germade,Adam Botek
,,,
Women's events,,,
,,,
,,,
Event,Gold,Silver,Bronze
C-1 200 metres,Nevin Harrison,Laurence Vincent Lapointe,Liudmyla Luzan
, United States, Canada, Ukraine
C-2 500 metres,Xu Shixiao,Liudmyla Luzan,Laurence Vincent Lapointe
,and Sun Mengya,and Anastasiia Chetverikova,and Katie Vincent
, China, Ukraine, Canada
K-1 200 metres,Lisa Carrington,Teresa Portela,Emma Jørgensen
, New Zealand, Spain, Denmark
K-1 500 metres,Lisa Carrington,Tamara Csipes,Emma Jørgensen
, New Zealand, Hungary, Denmark
K-2 500 metres,Lisa Carrington,Karolina Naja,Danuta Kozák
,and Caitlin Regal,and Anna Puławska,and Dóra Bodonyi
, New Zealand, Poland, Hungary
K-4 500 metres, Hungary (HUN), Belarus (BLR), Poland (POL)
,Danuta Kozák,Marharyta Makhneva,Karolina Naja
,Tamara Csipes,Nadzeya Papok,Anna Puławska
,Anna Kárász,Volha Khudzenka,Justyna Iskrzycka
,Dóra Bodonyi,Maryna Litvinchuk,Helena Wiśniewska
,,,
Cycling,,,
,,,
See also: Cycling at the 2020 Summer Olympics,,,
Road cycling,,,
,,,
,,,
Event,Gold,Silver,Bronze
Men's road race,Richard Carapaz,Wout van Aert,Tadej Pogačar
, Ecuador, Belgium, Slovenia
Men's time trial,Primož Roglič,Tom Dumoulin,Rohan Dennis
, Slovenia, Netherlands, Australia
Women's road race,Anna Kiesenhofer,Annemiek van Vleuten,Elisa Longo Borghini
, Austria, Netherlands, Italy
Women's time trial,Annemiek van Vleuten,Marlen Reusser,Anna van der Breggen
, Netherlands, Switzerland, Netherlands
,,,
Track cycling,,,
,,,
Men's events,,,
,,,
,,,
Event,Gold,Silver,Bronze
Keirin,Jason Kenny,Azizulhasni Awang,Harrie Lavreysen
, Great Britain, Malaysia, Netherlands
Madison,Lasse Norman Hansen,Ethan Hayter,Donavan Grondin
,and Michael Mørkøv,and Matt Walls,and Benjamin Thomas
, Denmark, Great Britain, France
Omnium,Matt Walls,Campbell Stewart,Elia Viviani
, Great Britain, New Zealand, Italy
Team pursuit, Italy (ITA), Denmark (DEN), Australia (AUS)
,Simone Consonni,Niklas Larsen,Leigh Howard
,Filippo Ganna,Lasse Norman Hansen,Kelland O'Brien
,Francesco Lamon,Rasmus Pedersen,Luke Plapp
,Jonathan Milan,Frederik Rodenberg,Sam Welsford
,,,Alexander Porter
Sprint,Harrie Lavreysen,Jeffrey Hoogland,Jack Carlin
, Netherlands, Netherlands, Great Britain
Team sprint, Netherlands (NED), Great Britain (GBR), France (FRA)
,Jeffrey Hoogland,Jack Carlin,Florian Grengbo
,Harrie Lavreysen,Jason Kenny,Rayan Helal
,Roy van den Berg,Ryan Owens,Sébastien Vigier
,Matthijs Büchli,,
,,,
Women's events,,,
,,,
,,,
Event,Gold,Silver,Bronze
Keirin,Shanne Braspennincx,Ellesse Andrews,Lauriane Genest
, Netherlands, New Zealand, Canada
Madison,Katie Archibald,Amalie Dideriksen,Gulnaz Khatuntseva
,and Laura Kenny,and Julie Leth,and Maria Novolodskaya
, Great Britain, Denmark, ROC
Omnium,Jennifer Valente,Yumi Kajihara,Kirsten Wild
, United States, Japan, Netherlands
Team pursuit, Germany (GER), Great Britain (GBR), United States (USA)
,Franziska Brauße,Katie Archibald,Chloé Dygert
,Lisa Brennauer,Laura Kenny,Megan Jastrab
,Lisa Klein,Neah Evans,Jennifer Valente
,Mieke Kröger,Josie Knight,Emma White
,,Elinor Barker,Lily Williams
Sprint,Kelsey Mitchell,Olena Starikova,Lee Wai-sze
, Canada, Ukraine, Hong Kong
Team sprint, China (CHN), Germany (GER), ROC
,Bao Shanju,Lea Friedrich,Daria Shmeleva
,Zhong Tianshi,Emma Hinze,Anastasia Voynova
,,,
Mountain biking,,,
,,,
,,,
Event,Gold,Silver,Bronze
Men's,Tom Pidcock,Mathias Flückiger,David Valero
, Great Britain, Switzerland, Spain
Women's,Jolanda Neff,Sina Frei,Linda Indergand
, Switzerland, Switzerland, Switzerland
,,,
BMX,,,
,,,
,,,
Event,Gold,Silver,Bronze
Men's race,Niek Kimmann,Kye Whyte,Carlos Ramírez
, Netherlands, Great Britain, Colombia
Men's freestyle,Logan Martin,Daniel Dhers,Declan Brooks
, Australia, Venezuela, Great Britain
Women's race,Beth Shriever,Mariana Pajón,Merel Smulders
, Great Britain, Colombia, Netherlands
Women's freestyle,Charlotte Worthington,Hannah Roberts,Nikita Ducarroz
, Great Britain, United States, Switzerland
,,,
Diving,,,
,,,
See also: Diving at the 2020 Summer Olympics,,,
Men's events,,,
,,,
,,,
Event,Gold,Silver,Bronze
3 m springboard,Xie Siyi,Wang Zongyuan,Jack Laugher
, China, China, Great Britain
10 m platform,Cao Yuan,Yang Jian,Tom Daley
, China, China, Great Britain
Synchronized 3 m springboard,Xie Siyi,Andrew Capobianco,Patrick Hausding
,and Wang Zongyuan,and Michael Hixon,and Lars Rüdiger
, China, United States, Germany
Synchronized 10 m platform,Tom Daley,Cao Yuan,Aleksandr Bondar
,and Matty Lee,and Chen Aisen,and Viktor Minibaev
, Great Britain, China, ROC
,,,
Women's events,,,
,,,
,,,
Event,Gold,Silver,Bronze
3 m springboard,Shi Tingmao,Wang Han,Krysta Palmer
, China, China, United States
10 m platform,Quan Hongchan,Chen Yuxi,Melissa Wu
, China, China, Australia
Synchronized 3 m springboard,Shi Tingmao,Jennifer Abel,Lena Hentschel
,and Wang Han,and Mélissa Citrini-Beaulieu,and Tina Punzel
, China, Canada, Germany
Synchronized 10 m platform,Chen Yuxi,Delaney Schnell,Gabriela Agúndez
,and Zhang Jiaqi,and Jessica Parratto,and Alejandra Orozco
, China, United States, Mexico
,,,
Equestrian,,,
,,,
See also: Equestrian at the 2020 Summer Olympics,,,
,,,
Event,Gold,Silver,Bronze
Individual dressage,Jessica von Bredow-Werndl,Isabell Werth,Charlotte Dujardin
, Germany, Germany, Great Britain
Team dressage, Germany (GER), United States (USA), Great Britain (GBR)
,Jessica von Bredow-Werndl,Sabine Schut-Kery,Charlotte Fry
,Dorothee Schneider,Adrienne Lyle,Carl Hester
,Isabell Werth,Steffen Peters,Charlotte Dujardin
Individual eventing,Julia Krajewski,Tom McEwen,Andrew Hoy
, Germany, Great Britain, Australia
Team eventing, Great Britain (GBR), Australia (AUS), France (FRA)
,Laura Collett,Kevin McNab,Nicolas Touzaint
,Tom McEwen,Andrew Hoy,Karim Laghouag
,Oliver Townend,Shane Rose,Christopher Six
Individual jumping,Ben Maher,Peder Fredricson,Maikel van der Vleuten
, Great Britain, Sweden, Netherlands
Team jumping, Sweden (SWE), United States (USA), Belgium (BEL)
,Henrik von Eckermann,Laura Kraut,Pieter Devos
,Malin Baryard-Johnsson,Jessica Springsteen,Jérôme Guery
,Peder Fredricson,McLain Ward,Grégory Wathelet
,,,
